species_organized,genus,niche
Microcerotermes sp. A,Microcerotermes,deadwood
Microcerotermes sp. B,Microcerotermes,deadwood
Heterotermes vagus,Heterotermes,deadwood
Schedorhinotermes breinli,Schedorhinotermes,deadwood
Amitermes sp. A,Amitermes,deadwood
Microcerotermes sp. C,Microcerotermes,deadwood
Microcerotermes sp. D,Microcerotermes,deadwood
Amitermes sp. A,Amitermes,deadwood
Schedorhinotermes sp. A,Schedorhinotermes,deadwood
Microcerotermes sp. D,Microcerotermes,deadwood
Nasutitermes graveolus,Nasutitermes,deadwood
Microcerotermes sp. D,Microcerotermes,deadwood
Microcerotermes sp. A,Microcerotermes,deadwood
Microcerotermes sp. B,Microcerotermes,deadwood
Schedorhinotermes breinli,Schedorhinotermes,deadwood
Schedorhinotermes breinli,Schedorhinotermes,deadwood
Heterotermes sp. A,Heterotermes,deadwood
Nasutitermes graveolus,Nasutitermes,trees
Nasutitermes sp. A,Nasutitermes,trees
Nasutitermes graveolus,Nasutitermes,trees
Nasutitermes sp. A,Nasutitermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Nasutitermes graveolus,Nasutitermes,trees
Schedorhinotermes sp. A,Schedorhinotermes,trees
Nasutitermes graveolus,Nasutitermes,trees
Nasutitermes graveolus,Nasutitermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Coptotermes sp. A,Coptotermes,trees
Nasutitermes sp. A,Nasutitermes,trees
Nasutitermes graveolus,Nasutitermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Neotermes sp. A,Neotermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Neotermes sp. A,Neotermes,trees
Coptotermes sp. A,Coptotermes,trees
Nasutitermes graveolus,Nasutitermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Nasutitermes graveolus,Nasutitermes,trees
Heterotermes sp. B,Heterotermes,trees
Coptotermes sp. A,Coptotermes,trees
Coptotermes acinaciformis ,Coptotermes,trees
Nasutitermes graveolus,Nasutitermes,trees